1998,04,10,Good Friday
1998,08,03,Civic Holiday
1998,09,07,Labour Day
1998,10,12,Thanksgiving
1999,02,15,Family Day
1999,04,02,Good Friday
1999,08,02,Civic Holiday
1999,09,06,Labour Day
1999,10,11,Thanksgiving
2000,02,21,Family Day
2000,04,21,Good Friday
2000,08,07,Civic Holiday
2000,09,04,Labour Day
2000,10,09,Thanksgiving
2001,02,19,Family Day
2001,04,13,Good Friday
2001,08,06,Civic Holiday
2001,09,03,Labour Day
2001,10,08,Thanksgiving
2002,02,18,Family Day
2002,03,29,Good Friday
2002,08,05,Civic Holiday
2002,09,02,Labour Day
2002,10,14,Thanksgiving
2003,02,17,Family Day
2003,04,18,Good Friday
2003,08,04,Civic Holiday
2003,09,01,Labour Day
2003,10,13,Thanksgiving
2004,02,16,Family Day
2004,04,09,Good Friday
2004,08,02,Civic Holiday
2004,09,06,Labour Day
2004,10,11,Thanksgiving
2005,02,21,Family Day
2005,03,25,Good Friday
2005,08,01,Civic Holiday
2005,09,05,Labour Day
2005,10,10,Thanksgiving
2006,02,20,Family Day
2006,04,14,Good Friday
2006,08,07,Civic Holiday
2006,09,04,Labour Day
2006,10,09,Thanksgiving
2007,02,19,Family Day
2007,04,06,Good Friday
2007,08,06,Civic Holiday
2007,09,03,Labour Day
2007,10,08,Thanksgiving
2008,02,18,Family Day
2008,03,21,Good Friday
2008,08,04,Civic Holiday
2008,09,01,Labour Day
2008,10,13,Thanksgiving
2009,02,16,Family Day
2009,04,10,Good Friday
2009,08,03,Civic Holiday
2009,09,07,Labour Day
2009,10,12,Thanksgiving
2010,02,15,Family Day
2010,04,02,Good Friday
2010,08,02,Civic Holiday
2010,09,06,Labour Day
2010,10,11,Thanksgiving
2011,02,21,Family Day
2011,04,22,Good Friday
2011,08,01,Civic Holiday
2011,09,05,Labour Day
2011,10,10,Thanksgiving
2012,02,20,Family Day
2012,04,06,Good Friday
2012,08,06,Civic Holiday
2012,09,03,Labour Day
2012,10,08,Thanksgiving
2013,02,18,Family Day
2013,03,29,Good Friday
2013,08,05,Civic Holiday
2013,09,02,Labour Day
2013,10,14,Thanksgiving
2014,02,17,Family Day
2014,04,18,Good Friday
2014,08,04,Civic Holiday
2014,09,01,Labour Day
2014,10,13,Thanksgiving
2015,02,16,Family Day
2015,04,03,Good Friday
2015,08,03,Civic Holiday
2015,09,07,Labour Day
2015,10,12,Thanksgiving
2016,02,15,Family Day
2016,03,25,Good Friday
2016,08,01,Civic Holiday
2016,09,05,Labour Day
2016,10,10,Thanksgiving
2017,02,20,Family Day
2017,04,14,Good Friday
2017,08,07,Civic Holiday
2017,09,04,Labour Day
2017,10,09,Thanksgiving
2018,02,19,Family Day
2018,03,30,Good Friday
2018,08,06,Civic Holiday
2018,09,03,Labour Day
2018,10,08,Thanksgiving
2019,02,18,Family Day
2019,04,19,Good Friday
2019,08,05,Civic Holiday
2019,09,02,Labour Day
2019,10,14,Thanksgiving
2020,02,17,Family Day
2020,04,10,Good Friday
2020,08,03,Civic Holiday
2020,09,07,Labour Day
2020,10,12,Thanksgiving
2021,02,15,Family Day
2021,04,02,Good Friday
2021,08,02,Civic Holiday
2021,09,06,Labour Day
2021,10,11,Thanksgiving
2022,02,21,Family Day
2022,04,15,Good Friday
2022,08,01,Civic Holiday
2022,09,05,Labour Day
2022,10,10,Thanksgiving
2023,02,20,Family Day
2023,04,07,Good Friday
2023,08,07,Civic Holiday
2023,09,04,Labour Day
2023,10,09,Thanksgiving
2024,02,19,Family Day
2024,03,29,Good Friday
2024,08,05,Civic Holiday
2024,09,02,Labour Day
2024,10,14,Thanksgiving
2025,02,17,Family Day
2025,04,18,Good Friday
2025,08,04,Civic Holiday
2025,09,01,Labour Day
2025,10,13,Thanksgiving
2026,02,16,Family Day
2026,04,03,Good Friday
2026,08,03,Civic Holiday
2026,09,07,Labour Day
2026,10,12,Thanksgiving
2027,02,15,Family Day
2027,03,26,Good Friday
2027,08,02,Civic Holiday
2027,09,06,Labour Day
2027,10,11,Thanksgiving
2028,02,21,Family Day
2028,04,14,Good Friday
2028,08,07,Civic Holiday
2028,09,04,Labour Day
2028,10,09,Thanksgiving
2029,02,19,Family Day
2029,03,30,Good Friday
2029,08,06,Civic Holiday
2029,09,03,Labour Day
2029,10,08,Thanksgiving
2030,02,18,Family Day
2030,04,19,Good Friday
2030,08,05,Civic Holiday
2030,09,02,Labour Day
2030,10,14,Thanksgiving
2031,02,17,Family Day
2031,04,11,Good Friday
2031,08,04,Civic Holiday
2031,09,01,Labour Day
2031,10,13,Thanksgiving
2032,02,16,Family Day
2032,03,26,Good Friday
2032,08,02,Civic Holiday
2032,09,06,Labour Day
2032,10,11,Thanksgiving
2033,02,21,Family Day
2033,04,15,Good Friday
2033,08,01,Civic Holiday
2033,09,05,Labour Day
2033,10,10,Thanksgiving
2034,02,20,Family Day
2034,04,07,Good Friday
2034,08,07,Civic Holiday
2034,09,04,Labour Day
2034,10,09,Thanksgiving
2035,02,19,Family Day
2035,03,23,Good Friday
2035,08,06,Civic Holiday
2035,09,03,Labour Day
2035,10,08,Thanksgiving
2036,02,18,Family Day
2036,04,11,Good Friday
2036,08,04,Civic Holiday
2036,09,01,Labour Day
2036,10,13,Thanksgiving
2037,02,16,Family Day
2037,04,03,Good Friday
2037,08,03,Civic Holiday
2037,09,07,Labour Day
2037,10,12,Thanksgiving
2038,02,15,Family Day
2038,04,23,Good Friday
2038,08,02,Civic Holiday
2038,09,06,Labour Day
2038,10,11,Thanksgiving
2039,02,21,Family Day
2039,04,08,Good Friday
2039,08,01,Civic Holiday
2039,09,05,Labour Day
2039,10,10,Thanksgiving
2040,02,20,Family Day
2040,03,30,Good Friday
2040,08,06,Civic Holiday
2040,09,03,Labour Day
2040,10,08,Thanksgiving
2041,02,18,Family Day
2041,04,19,Good Friday
2041,08,05,Civic Holiday
2041,09,02,Labour Day
2041,10,14,Thanksgiving
2042,02,17,Family Day
2042,04,04,Good Friday
2042,08,04,Civic Holiday
2042,09,01,Labour Day
2042,10,13,Thanksgiving
2043,02,16,Family Day
2043,03,27,Good Friday
2043,08,03,Civic Holiday
2043,09,07,Labour Day
2043,10,12,Thanksgiving
2044,02,15,Family Day
2044,04,15,Good Friday
2044,08,01,Civic Holiday
2044,09,05,Labour Day
2044,10,10,Thanksgiving
2045,02,20,Family Day
2045,04,07,Good Friday
2045,08,07,Civic Holiday
2045,09,04,Labour Day
2045,10,09,Thanksgiving
2046,02,19,Family Day
2046,03,23,Good Friday
2046,08,06,Civic Holiday
2046,09,03,Labour Day
2046,10,08,Thanksgiving
2047,02,18,Family Day
2047,04,12,Good Friday
2047,08,05,Civic Holiday
2047,09,02,Labour Day
2047,10,14,Thanksgiving
2048,02,17,Family Day
2048,04,03,Good Friday
2048,08,03,Civic Holiday
2048,09,07,Labour Day
2048,10,12,Thanksgiving
2049,02,15,Family Day
2049,04,16,Good Friday
2049,08,02,Civic Holiday
2049,09,06,Labour Day
2049,10,11,Thanksgiving
2050,02,21,Family Day
2050,04,08,Good Friday
2050,08,01,Civic Holiday
2050,09,05,Labour Day
2050,10,10,Thanksgiving
2051,02,20,Family Day
2051,03,31,Good Friday
2051,08,07,Civic Holiday
2051,09,04,Labour Day
2051,10,09,Thanksgiving
2052,02,19,Family Day
2052,04,19,Good Friday
2052,08,05,Civic Holiday
2052,09,02,Labour Day
2052,10,14,Thanksgiving
2053,02,17,Family Day
2053,04,04,Good Friday
2053,08,04,Civic Holiday
2053,09,01,Labour Day
2053,10,13,Thanksgiving
2054,02,16,Family Day
2054,03,27,Good Friday
2054,08,03,Civic Holiday
2054,09,07,Labour Day
2054,10,12,Thanksgiving
2055,02,15,Family Day
2055,04,16,Good Friday
2055,08,02,Civic Holiday
2055,09,06,Labour Day
2055,10,11,Thanksgiving
2056,02,21,Family Day
2056,03,31,Good Friday
2056,08,07,Civic Holiday
2056,09,04,Labour Day
2056,10,09,Thanksgiving
2057,02,19,Family Day
2057,04,20,Good Friday
2057,08,06,Civic Holiday
2057,09,03,Labour Day
2057,10,08,Thanksgiving
2058,02,18,Family Day
2058,04,12,Good Friday
2058,08,05,Civic Holiday
2058,09,02,Labour Day
2058,10,14,Thanksgiving
2059,02,17,Family Day
2059,03,28,Good Friday
2059,08,04,Civic Holiday
2059,09,01,Labour Day
2059,10,13,Thanksgiving
2060,02,16,Family Day
2060,04,16,Good Friday
2060,08,02,Civic Holiday
2060,09,06,Labour Day
2060,10,11,Thanksgiving
2061,02,21,Family Day
2061,04,08,Good Friday
2061,08,01,Civic Holiday
2061,09,05,Labour Day
2061,10,10,Thanksgiving
2062,02,20,Family Day
2062,03,24,Good Friday
2062,08,07,Civic Holiday
2062,09,04,Labour Day
2062,10,09,Thanksgiving
2063,02,19,Family Day
2063,04,13,Good Friday
2063,08,06,Civic Holiday
2063,09,03,Labour Day
2063,10,08,Thanksgiving
2064,02,18,Family Day
2064,04,04,Good Friday
2064,08,04,Civic Holiday
2064,09,01,Labour Day
2064,10,13,Thanksgiving
2065,02,16,Family Day
2065,03,27,Good Friday
2065,08,03,Civic Holiday
2065,09,07,Labour Day
2065,10,12,Thanksgiving
2066,02,15,Family Day
2066,04,09,Good Friday
2066,08,02,Civic Holiday
2066,09,06,Labour Day
2066,10,11,Thanksgiving
2067,02,21,Family Day
2067,04,01,Good Friday
2067,08,01,Civic Holiday
2067,09,05,Labour Day
2067,10,10,Thanksgiving
2068,02,20,Family Day
2068,04,20,Good Friday
2068,08,06,Civic Holiday
2068,09,03,Labour Day
2068,10,08,Thanksgiving
2069,02,18,Family Day
2069,04,12,Good Friday
2069,08,05,Civic Holiday
2069,09,02,Labour Day
2069,10,14,Thanksgiving
2070,02,17,Family Day
2070,03,28,Good Friday
2070,08,04,Civic Holiday
2070,09,01,Labour Day
2070,10,13,Thanksgiving
2071,02,16,Family Day
2071,04,17,Good Friday
2071,08,03,Civic Holiday
2071,09,07,Labour Day
2071,10,12,Thanksgiving
2072,02,15,Family Day
2072,04,08,Good Friday
2072,08,01,Civic Holiday
2072,09,05,Labour Day
2072,10,10,Thanksgiving
2073,02,20,Family Day
2073,03,24,Good Friday
2073,08,07,Civic Holiday
2073,09,04,Labour Day
2073,10,09,Thanksgiving
2074,02,19,Family Day
2074,04,13,Good Friday
2074,08,06,Civic Holiday
2074,09,03,Labour Day
2074,10,08,Thanksgiving
2075,02,18,Family Day
2075,04,05,Good Friday
2075,08,05,Civic Holiday
2075,09,02,Labour Day
2075,10,14,Thanksgiving
2076,02,17,Family Day
2076,04,17,Good Friday
2076,08,03,Civic Holiday
2076,09,07,Labour Day
2076,10,12,Thanksgiving
2077,02,15,Family Day
2077,04,09,Good Friday
2077,08,02,Civic Holiday
2077,09,06,Labour Day
2077,10,11,Thanksgiving
2078,02,21,Family Day
2078,04,01,Good Friday
2078,08,01,Civic Holiday
2078,09,05,Labour Day
2078,10,10,Thanksgiving
2079,02,20,Family Day
2079,04,21,Good Friday
2079,08,07,Civic Holiday
2079,09,04,Labour Day
2079,10,09,Thanksgiving
2080,02,19,Family Day
2080,04,05,Good Friday
2080,08,05,Civic Holiday
2080,09,02,Labour Day
2080,10,14,Thanksgiving
2081,02,17,Family Day
2081,03,28,Good Friday
2081,08,04,Civic Holiday
2081,09,01,Labour Day
2081,10,13,Thanksgiving
2082,02,16,Family Day
2082,04,17,Good Friday
2082,08,03,Civic Holiday
2082,09,07,Labour Day
2082,10,12,Thanksgiving
2083,02,15,Family Day
2083,04,02,Good Friday
2083,08,02,Civic Holiday
2083,09,06,Labour Day
2083,10,11,Thanksgiving
2084,02,21,Family Day
2084,03,24,Good Friday
2084,08,07,Civic Holiday
2084,09,04,Labour Day
2084,10,09,Thanksgiving
2085,02,19,Family Day
2085,04,13,Good Friday
2085,08,06,Civic Holiday
2085,09,03,Labour Day
2085,10,08,Thanksgiving
2086,02,18,Family Day
2086,03,29,Good Friday
2086,08,05,Civic Holiday
2086,09,02,Labour Day
2086,10,14,Thanksgiving
2087,02,17,Family Day
2087,04,18,Good Friday
2087,08,04,Civic Holiday
2087,09,01,Labour Day
2087,10,13,Thanksgiving
2088,02,16,Family Day
2088,04,09,Good Friday
2088,08,02,Civic Holiday
2088,09,06,Labour Day
2088,10,11,Thanksgiving
2089,02,21,Family Day
2089,04,01,Good Friday
2089,08,01,Civic Holiday
2089,09,05,Labour Day
2089,10,10,Thanksgiving
2090,02,20,Family Day
2090,04,14,Good Friday
2090,08,07,Civic Holiday
2090,09,04,Labour Day
2090,10,09,Thanksgiving
2091,02,19,Family Day
2091,04,06,Good Friday
2091,08,06,Civic Holiday
2091,09,03,Labour Day
2091,10,08,Thanksgiving
2092,02,18,Family Day
2092,03,28,Good Friday
2092,08,04,Civic Holiday
2092,09,01,Labour Day
2092,10,13,Thanksgiving
2093,02,16,Family Day
2093,04,10,Good Friday
2093,08,03,Civic Holiday
2093,09,07,Labour Day
2093,10,12,Thanksgiving
2094,02,15,Family Day
2094,04,02,Good Friday
2094,08,02,Civic Holiday
2094,09,06,Labour Day
2094,10,11,Thanksgiving
2095,02,21,Family Day
2095,04,22,Good Friday
2095,08,01,Civic Holiday
2095,09,05,Labour Day
2095,10,10,Thanksgiving
2096,02,20,Family Day
2096,04,13,Good Friday
2096,08,06,Civic Holiday
2096,09,03,Labour Day
2096,10,08,Thanksgiving
2097,02,18,Family Day
2097,03,29,Good Friday
2097,08,05,Civic Holiday
2097,09,02,Labour Day
2097,10,14,Thanksgiving
2098,02,17,Family Day
2098,04,18,Good Friday
2098,08,04,Civic Holiday
2098,09,01,Labour Day
2098,10,13,Thanksgiving
2099,02,16,Family Day
2099,04,10,Good Friday
2099,08,03,Civic Holiday
2099,09,07,Labour Day
2099,10,12,Thanksgiving
